,Shape_Area,zone,LocationId,borough
0,0.000782307,Newark Airport,1,EWR
1,0.00486634,Jamaica Bay,2,Queens
2,0.000314414,Allerton/Pelham Gardens,3,Bronx
3,0.000111872,Alphabet City,4,Manhattan
4,0.000497957,Arden Heights,5,Staten Island
5,0.000606461,Arrochar/Fort Wadsworth,6,Staten Island
6,0.000389788,Astoria,7,Queens
7,2.66E-05,Astoria Park,8,Queens
8,0.000338444,Auburndale,9,Queens
9,0.000435824,Baisley Park,10,Queens
10,0.000264521,Bath Beach,11,Brooklyn
11,4.15E-05,Battery Park,12,Manhattan
12,0.000149359,Battery Park City,13,Manhattan
13,0.001381778,Bay Ridge,14,Brooklyn
14,0.000925219,Bay Terrace/Fort Totten,15,Queens
15,0.000871889,Bayside,16,Queens
16,0.000322958,Bedford,17,Brooklyn
17,0.00014885,Bedford Park,18,Bronx
18,0.000546661,Bellerose,19,Queens
19,0.000134513,Belmont,20,Bronx
20,0.000380251,Bensonhurst East,21,Brooklyn
21,0.000472063,Bensonhurst West,22,Brooklyn
22,0.002195566,Bloomfield/Emerson Hill,23,Staten Island
23,6.07E-05,Bloomingdale,24,Manhattan
24,0.000124168,Boerum Hill,25,Brooklyn
25,0.00053404,Borough Park,26,Brooklyn
26,0.001340888,Breezy Point/Fort Tilden/Riis Beach,27,Queens
27,0.000291204,Briarwood/Jamaica Hills,28,Queens
28,0.000201674,Brighton Beach,29,Brooklyn
29,0.000145862,Broad Channel,30,Queens
30,0.000333976,Bronx Park,31,Bronx
31,0.000150879,Bronxdale,32,Bronx
32,0.000147417,Brooklyn Heights,33,Brooklyn
33,0.000173946,Brooklyn Navy Yard,34,Brooklyn
34,0.000323825,Brownsville,35,Brooklyn
35,0.000247666,Bushwick North,36,Brooklyn
36,0.000452063,Bushwick South,37,Brooklyn
37,0.000327393,Cambria Heights,38,Queens
38,0.000900283,Canarsie,39,Brooklyn
39,0.000108949,Carroll Gardens,40,Brooklyn
40,0.000143093,Central Harlem,41,Manhattan
41,0.000263897,Central Harlem North,42,Manhattan
42,0.000379663,Central Park,43,Manhattan
43,0.001944656,Charleston/Tottenville,44,Staten Island
44,9.14E-05,Chinatown,45,Manhattan
45,0.000926392,City Island,46,Bronx
46,0.000163198,Claremont/Bathgate,47,Bronx
47,9.43E-05,Clinton East,48,Manhattan
48,0.000203186,Clinton Hill,49,Brooklyn
49,0.000173249,Clinton West,50,Manhattan
50,0.000395757,Co-Op City,51,Bronx
51,4.52E-05,Cobble Hill,52,Brooklyn
52,0.000947531,College Point,53,Queens
53,0.000132452,Columbia Street,54,Brooklyn
54,0.000736275,Coney Island,55,Brooklyn
55,0.000180908,Corona,56,Queens
55,0.000180908,Corona,56,Queens
56,1.80E-05,Corona,56,Queens
56,1.80E-05,Corona,56,Queens
57,0.000204981,Country Club,58,Bronx
58,6.29E-05,Crotona Park,59,Bronx
59,0.000161833,Crotona Park East,60,Bronx
60,0.000510772,Crown Heights North,61,Brooklyn
61,0.000158238,Crown Heights South,62,Brooklyn
62,0.000353191,Cypress Hills,63,Brooklyn
63,0.001057903,Douglaston,64,Queens
64,8.18E-05,Downtown Brooklyn/MetroTech,65,Brooklyn
65,0.000108379,DUMBO/Vinegar Hill,66,Brooklyn
66,0.000394282,Dyker Heights,67,Brooklyn
67,0.000111073,East Chelsea,68,Manhattan
68,0.000199052,East Concourse/Concourse Village,69,Bronx
69,0.000195458,East Elmhurst,70,Queens
70,0.000382573,East Flatbush/Farragut,71,Brooklyn
71,0.000323532,East Flatbush/Remsen Village,72,Brooklyn
72,0.0002918,East Flushing,73,Queens
73,0.000295038,East Harlem North,74,Manhattan
74,0.000240564,East Harlem South,75,Manhattan
75,0.001266601,East New York,76,Brooklyn
76,0.000191918,East New York/Pennsylvania Avenue,77,Brooklyn
77,0.000191114,East Tremont,78,Bronx
78,0.000107893,East Village,79,Manhattan
79,0.000407322,East Williamsburg,80,Brooklyn
80,0.000399567,Eastchester,81,Bronx
81,0.000323601,Elmhurst,82,Queens
82,0.000217464,Elmhurst/Maspeth,83,Queens
83,0.002073756,Eltingville/Annadale/Prince's Bay,84,Staten Island
84,0.000143638,Erasmus,85,Brooklyn
85,0.000623279,Far Rockaway,86,Queens
86,6.72E-05,Financial District North,87,Manhattan
87,5.73E-05,Financial District South,88,Manhattan
88,0.000447548,Flatbush/Ditmas Park,89,Brooklyn
89,5.53E-05,Flatiron,90,Manhattan
90,0.00053733,Flatlands,91,Brooklyn
91,0.000374947,Flushing,92,Queens
92,0.000594278,Flushing Meadows-Corona Park,93,Queens
93,6.26E-05,Fordham South,94,Bronx
94,0.00057277,Forest Hills,95,Queens
95,0.000547566,Forest Park/Highland Park,96,Queens
96,0.000163304,Fort Greene,97,Brooklyn
97,0.000485773,Fresh Meadows,98,Queens
98,0.001210165,Freshkills Park,99,Staten Island
99,3.75E-05,Garment District,100,Manhattan
100,0.000452343,Glen Oaks,101,Queens
101,0.000296595,Glendale,102,Queens
102,6.33E-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
102,6.33E-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
102,6.33E-06,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
103,1.19E-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
103,1.19E-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
103,1.19E-05,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
104,0.000368636,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
104,0.000368636,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
104,0.000368636,Governor's Island/Ellis Island/Liberty Island,103,Manhattan
105,0.000113617,Gowanus,106,Brooklyn
106,7.46E-05,Gramercy,107,Manhattan
107,0.000352866,Gravesend,108,Brooklyn
108,0.001169601,Great Kills,109,Staten Island
109,0.000525745,Great Kills Park,110,Staten Island
110,0.000208683,Green-Wood Cemetery,111,Brooklyn
111,0.000462069,Greenpoint,112,Brooklyn
112,5.80E-05,Greenwich Village North,113,Manhattan
113,4.70E-05,Greenwich Village South,114,Manhattan
114,0.000373169,Grymes Hill/Clifton,115,Staten Island
115,0.000260415,Hamilton Heights,116,Manhattan
116,0.000904294,Hammels/Arverne,117,Queens
117,0.001826939,Heartland Village/Todt Hill,118,Staten Island
118,0.000185779,Highbridge,119,Bronx
119,9.31E-05,Highbridge Park,120,Manhattan
120,0.000384563,Hillcrest/Pomonok,121,Queens
121,0.000226597,Hollis,122,Queens
122,0.000296445,Homecrest,123,Brooklyn
123,0.000754838,Howard Beach,124,Queens
124,7.64E-05,Hudson Sq,125,Manhattan
125,0.000703274,Hunts Point,126,Bronx
126,0.000163196,Inwood,127,Manhattan
127,0.000207406,Inwood Hill Park,128,Manhattan
128,0.000473988,Jackson Heights,129,Queens
129,0.000468323,Jamaica,130,Queens
130,0.000423696,Jamaica Estates,131,Queens
131,0.002038301,JFK Airport,132,Queens
132,0.000157189,Kensington,133,Brooklyn
133,0.000202375,Kew Gardens,134,Queens
