month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
7-2018,12.39,10.0,1.09,5.0,539.4,16.382968749091724
1-2019,7.3,6.5,0.0,1.0,444.0,6.648648648648648
9-2018,16.427058823529403,13.907450980392156,1.299803921568627,65.0,3402.8823529411766,11.940888158271441
11-2018,24.629999999999995,23.929999999999996,0.0,3.0,10168.0,7.17922676049389
2-2019,20.8,19.5,0.0,1.0,1123.0,19.298308103294744
11-2020,10.3,8.5,0.0,2.0,406.5,16.705123339658442
10-2018,14.2475,12.935,0.525,18.0,10031.0,5.789570101492237
12-2018,11.3,10.5,0.0,1.0,25886.0,0.3365525766823766
8-2018,16.233985540702797,13.887176716493288,0.9941263280643986,886324.0,1316.7272503071351,12.553344433412404
3-2019,8.3,7.0,0.0,1.0,436.0,8.256880733944953
