month_year,avg_total_amount,avg_fare_amount,avg_tip_amount,total_passenger_count,avg_time_diff,avg_speed
1-2017,15.335572112392583,12.192144503588372,1.7433188130038146,15731828.0,895.88,11.77
1-2018,16.681602486241886,13.26995459112566,2.168864537211851,13993997.0,62055.48,37.72
1-2019,16.25278148572046,12.826788758068151,2.064037396739581,11935366.0,56187.21,76.13
1-2020,18.548117793332842,12.556833287812157,2.4000422602998652,9516543.0,53451.12,88.36
1-2021,16.326391468643568,11.009527039643796,1.7919461965973607,1772474.0,9897.22,59.81
1-2022,21.492183051866924,14.6571696356868,2.9922774767305924,3287657.0,13715.42,59.15
1-2023,26.06913703560736,17.71800609332004,2.958278722831706,4030680.0,2683.5,35.92
10-2017,15.496990748001515,12.344917356980197,1.7463159259395422,15701214.0,9093.17,34.93
10-2018,19.280054598535003,15.286202183393062,2.011104915601957,13752642.0,44374.12,71.39
10-2019,18.35700926374033,12.398192152109678,2.1453299185191064,10933033.0,52134.93,59.3
10-2020,18.211319355619494,12.110923606680759,2.4755418250634413,2219375.0,7511.59,53.25
10-2021,19.777173848312604,13.686524850511107,2.2887962998194253,4687789.0,19376.78,45.59
10-2022,26.441476339374745,20.48497003512818,2.46233221971308,4832524.0,3036.11,64.7
10-2023,21.256875,14.59375,2.163125,31.0,12279.88,21.28
11-2017,16.61396273106116,13.267055117557135,1.8589922097122156,14863200.0,5266.42,36.94
11-2018,16.149029345877583,12.779043971774815,1.7865216667805002,12757465.0,30661.17,78.97
11-2019,16.991767674918165,11.735059607542208,1.9189946356897791,10436874.0,31095.62,91.03
11-2020,21.40999475496594,15.681002313257302,2.0050880079596807,1973911.0,11982.69,62.66
11-2021,21.253903929785466,14.760597126838217,2.428246399551297,4707303.0,19187.84,54.64
11-2022,25.48618972417672,18.001011980199003,3.2649644623074217,4298323.0,5362.36,48.04
12-2017,23.603578569598817,18.754803865526977,2.8294848810512776,15428277.0,29055.1,48.43
12-2018,16.49103269111941,13.023161626760613,1.944956836082845,12953904.0,35265.36,98.33
12-2019,18.401935057924188,12.346963298080512,2.466438139975798,10517994.0,55699.75,60.48
12-2020,17.11282993912515,12.38426979844849,1.5947296593460263,1914016.0,18714.54,53.48
12-2021,23.71596118317416,16.16531587504833,3.7258775472470504,4437103.0,10394.34,83.39
12-2022,23.73879993162373,15.853677702552437,3.300759694218113,4576880.0,2792.24,35.35
2-2017,15.572620051533285,12.382965201072198,1.7850145020274315,14816825.0,914.14,11.51
2-2018,16.585168292990254,13.003075511607673,2.339142537550513,13479664.0,61497.15,43.77
2-2019,14.24559763521932,11.058733941492816,1.309793494319718,10957174.0,62993.71,91.0
2-2020,19.691382824841504,13.522632431920977,2.4203152794494667,9322325.0,38951.49,89.24
2-2021,15.077751849571063,9.479468028618559,1.9731732705336351,1775480.0,9628.5,58.33
2-2022,17.407377521624625,11.634964458203847,1.9029120521283827,3965687.0,14382.37,67.98
2-2023,30.012073612148914,20.813331368024436,3.8675731799311053,3791578.0,2835.18,43.25
3-2017,16.160406312431185,12.857473542870379,1.8512324059887308,16561842.0,983.55,11.12
3-2018,15.390704293270653,12.69839131902952,1.4340757917598883,15009726.0,23957.94,53.15
3-2019,23.293072713659292,17.782253965848184,2.815940411828864,12259723.0,84938.51,100.02
3-2020,17.341122977649754,12.008355135333256,1.8727158420002559,4316565.0,44639.08,87.57
3-2021,15.432170973418017,10.220154674953271,1.9063487448443575,2492004.0,1741.38,47.0
3-2022,23.467768658857086,15.853830837292545,3.381089538629035,4823375.0,13960.89,71.33
3-2023,27.46731485445497,18.503808619584344,3.7004902942831563,4426899.0,6839.54,35.45
4-2017,16.22954621160994,12.963076728963888,1.8163411877217792,16245621.0,996.36,11.4
4-2018,14.703217636939167,11.845943983745427,1.6741523765731663,14805598.0,11136.18,57.57
4-2019,14.681669926662124,10.44143210500459,1.5342959092925328,11619746.0,25194.1,78.04
4-2020,15.510394579903439,10.08887101766269,1.8616513373413486,277326.0,95395.28,76.27
4-2021,17.457334622122925,12.262100196367482,1.6659709060879868,2839708.0,16781.15,52.38
4-2022,17.26311541360209,11.287226512155875,2.2153948627230244,4866184.0,10455.59,61.62
4-2023,41.61407122576334,29.554866213436284,6.546719108298429,4370905.0,36355.91,43.25
5-2017,16.696520582669553,13.34406972440698,1.8790449647367626,16264237.0,1034.37,11.16
5-2018,14.683175950665191,11.87730086097542,1.5438749014644977,14639711.0,14266.0,58.77
5-2019,25.034841555542656,17.891680074147946,3.868577039200419,11791271.0,39947.08,121.26
5-2020,16.497161291195997,11.356464855101818,1.7220565178359297,370503.0,58634.87,80.85
5-2021,20.04431011374762,13.040021082270716,2.6628651561693584,3345662.0,14898.04,71.41
5-2022,18.12124335662315,12.05877783355067,2.0902405660511625,4758001.0,20700.13,76.89
5-2023,32.44545793548782,21.699143120642464,4.482311003138563,4578865.0,3139.79,39.86
6-2017,16.541825007688445,13.1918323220088,1.8707556517601946,15585398.0,1018.21,11.24
6-2018,15.255568189443704,12.20265960468084,1.6057314939586398,13831098.0,14911.77,60.74
6-2019,16.896705225941314,11.912312337565162,1.8684637510700193,10787676.0,20713.57,92.07
6-2020,18.732120809926165,13.729202583110574,1.4819532531064483,659075.0,60861.59,85.5
6-2021,24.214193958479477,17.367420941174345,2.989996804658278,3856349.0,16321.37,68.78
6-2022,22.790604813850393,15.643883195977017,2.777474298830962,4721061.0,11675.28,43.2
6-2023,29.755982059840253,20.214067552270524,3.721732402983952,4335205.0,8374.64,36.1
7-2017,16.289451152235458,13.027490394154823,1.7916935801698533,14004712.0,999.14,11.7
7-2018,20.79386002635285,15.649411963445951,2.858152523057132,12521005.0,30162.85,71.17
7-2019,19.673492378807502,13.460419579654587,2.3433651591379605,9773032.0,24360.53,78.79
7-2020,15.340872160119785,9.771713102558003,1.6297188550863404,990553.0,34322.12,144.05
7-2021,23.299951047001127,14.844237896520331,3.3514569730800092,3888860.0,9787.15,70.33
7-2022,21.362933764617384,15.014380939589904,2.2047100661985564,4327905.0,6342.72,45.52
